work,separation,partner,marriage,children,gender,generation
0.055672293,0.050917299,0.048594961,0.051195002,0.069055645,1,6
0.052742172,0.045557583,0.085041182,0.051195002,0.052387041,0,5
0.052742172,0.066996446,0.060743701,0.060946431,0.040480895,1,3
0.067392775,0.050917299,0.046165213,0.046319287,0.047624583,1,6
0.067392775,0.06163673,0.055884205,0.056070716,0.05476827,0,6
0.058602413,0.072356161,0.060743701,0.060946431,0.064293186,0,4
0.052742172,0.048237441,0.046165213,0.053632859,0.047624583,0,2
0.064462655,0.06163673,0.055884205,0.058508573,0.057149499,1,3
0.058602413,0.042877725,0.038875969,0.039005716,0.040480895,0,5
0.061532534,0.050917299,0.043735465,0.04388143,0.045243353,1,5
0.058602413,0.053597157,0.058313953,0.060946431,0.061911957,1,4
0.04395181,0.075036019,0.109338663,0.119455004,0.064293186,0,4
0.064462655,0.091115166,0.055884205,0.056070716,0.057149499,1,6
0.055672293,0.053597157,0.048594961,0.058508573,0.059530728,0,5
0.052742172,0.096474882,0.046165213,0.048757144,0.050005812,1,4
0.055672293,0.050917299,0.046165213,0.051195002,0.050005812,1,0
0.052742172,0.048237441,0.046165213,0.051195002,0.050005812,1,5
0.061532534,0.056277014,0.080181686,0.075573574,0.085724249,1,1
0.052742172,0.091115166,0.068032946,0.073135717,0.078580561,0,6
0.058602413,0.056277014,0.051024709,0.056070716,0.059530728,1,5
0.055672293,0.064316588,0.058313953,0.058508573,0.061911957,1,5
0.064462655,0.06163673,0.055884205,0.060946431,0.061911957,0,6
0.070322896,0.075036019,0.068032946,0.073135717,0.076199332,0,6
0.055672293,0.048237441,0.043735465,0.04388143,0.050005812,1,5
0.055672293,0.050917299,0.046165213,0.053632859,0.052387041,1,6
0.058602413,0.042877725,0.08747093,0.039005716,0.040480895,1,5
0.055672293,0.045557583,0.046165213,0.046319287,0.047624583,0,6
0.049812051,0.080395735,0.038875969,0.039005716,0.045243353,1,6
0.052742172,0.048237441,0.048594961,0.060946431,0.052387041,1,6
